ID,protocol,success,ecdh_match,kyber_match,keygen_time,encap_time,decap_time,kdf_time,total_time,key_size,error
1,HYBRID,True,True,True,0.00044739991426467896,0.00024969992227852345,0.0003152999561280012,9.039998985826969e-05,0.0011090999469161034,32,
2,HYBRID,True,True,True,0.0003893999382853508,0.0002150998916476965,0.0002133999951183796,5.13000413775444e-05,0.000874500023201108,32,
3,HYBRID,True,True,True,0.0004390999674797058,0.00023010000586509705,0.0002598999999463558,5.419994704425335e-05,0.0009890999644994736,32,
4,HYBRID,True,True,True,0.00046829995699226856,0.00021570012904703617,0.00022000004537403584,5.67000824958086e-05,0.0009662001393735409,32,
5,HYBRID,True,True,True,0.00043460004962980747,0.00029239989817142487,0.0002829998265951872,6.019999273121357e-05,0.001079099951311946,32,
6,HYBRID,True,True,True,0.0003988000098615885,0.0002087999600917101,0.000215600011870265,5.2999937906861305e-05,0.0008818998467177153,32,
7,HYBRID,True,True,True,0.000515699852257967,0.00022369995713233948,0.00021980004385113716,7.87999015301466e-05,0.0010439998004585505,32,
8,HYBRID,True,True,True,0.0003760999534279108,0.00021050008945167065,0.0003516001161187887,5.270005203783512e-05,0.0009963999036699533,32,
9,HYBRID,True,True,True,0.000434699933975935,0.0002139001153409481,0.00021769991144537926,5.079992115497589e-05,0.0009220999199897051,32,
10,HYBRID,True,True,True,0.0003963999915868044,0.00022739986889064312,0.00023819995112717152,5.67000824958086e-05,0.0009242999367415905,32,
11,HYBRID,True,True,True,0.00043969997204840183,0.00024250010028481483,0.00027849990874528885,4.929979331791401e-05,0.0010176000650972128,32,
12,HYBRID,True,True,True,0.00037830020301043987,0.00024889991618692875,0.00022360007278621197,5.139992572367191e-05,0.0009071999229490757,32,
13,HYBRID,True,True,True,0.000363699859008193,0.00020779995247721672,0.00021569989621639252,4.9900030717253685e-05,0.0008422001264989376,32,
14,HYBRID,True,True,True,0.00037109991535544395,0.00020690006203949451,0.0002117999829351902,4.7900015488266945e-05,0.0008423000108450651,32,
15,HYBRID,True,True,True,0.00037860008887946606,0.0002483001444488764,0.00022000004537403584,5.339994095265865e-05,0.0009054001420736313,32,
16,HYBRID,True,True,True,0.00043120002374053,0.0002142000012099743,0.000228899996727705,5.259993486106396e-05,0.0009322999976575375,32,
17,HYBRID,True,True,True,0.0003440000582486391,0.00020149978809058666,0.00020979996770620346,4.770001396536827e-05,0.0008072999771684408,32,
18,HYBRID,True,True,True,0.0004420001059770584,0.00021469988860189915,0.000219699926674366,5.230004899203777e-05,0.0009351000189781189,32,
19,HYBRID,True,True,True,0.0003614998422563076,0.0002052001655101776,0.00021359999664127827,5.149981006979942e-05,0.0008368999697268009,32,
20,HYBRID,True,True,True,0.00038679991848766804,0.00021319999359548092,0.00021620001643896103,5.2099814638495445e-05,0.0008735000155866146,32,
21,HYBRID,True,True,True,0.00036269985139369965,0.00022749998606741428,0.00022169994190335274,5.030003376305103e-05,0.0008674999698996544,32,
22,HYBRID,True,True,True,0.0003744000568985939,0.000210900092497468,0.00021689990535378456,5.0900038331747055e-05,0.0008578000124543905,32,
23,HYBRID,True,True,True,0.00035630003549158573,0.0002063000574707985,0.00022779987193644047,4.819990135729313e-05,0.0008433000184595585,32,
24,HYBRID,True,True,True,0.0003529000096023083,0.0002039000391960144,0.00021330011077225208,4.959991201758385e-05,0.0008244998753070831,32,
25,HYBRID,True,True,True,0.00036170007660984993,0.00020859995856881142,0.00021700002253055573,4.970002919435501e-05,0.0008417998906224966,32,
26,HYBRID,True,True,True,0.0003894998226314783,0.0002118998672813177,0.00021620001643896103,5.21000474691391e-05,0.0008747000247240067,32,
27,HYBRID,True,True,True,0.000358999939635396,0.00024370010942220688,0.00022459984757006168,4.970002919435501e-05,0.0008821999654173851,32,
28,HYBRID,True,True,True,0.00040369993075728416,0.00020819995552301407,0.0002133999951183796,4.950002767145634e-05,0.0008801999501883984,32,
29,HYBRID,True,True,True,0.000591999851167202,0.0002335000317543745,0.00021590013056993484,5.3900061175227165e-05,0.001101000001654029,32,
30,HYBRID,True,True,True,0.00038129999302327633,0.00021290010772645473,0.00021460000425577164,5.259993486106396e-05,0.0008668000809848309,32,
31,HYBRID,True,True,True,0.0004506001714617014,0.0002077000681310892,0.00023200013674795628,5.9300102293491364e-05,0.0009550999384373426,32,
32,HYBRID,True,True,True,0.0003657999914139509,0.00020459992811083794,0.00021150009706616402,4.779989831149578e-05,0.0008343998342752457,32,
33,HYBRID,True,True,True,0.00036269985139369965,0.00020379992201924324,0.00021039997227489948,4.91999089717865e-05,0.0008310999255627394,32,
34,HYBRID,True,True,True,0.000381499994546175,0.00020979996770620346,0.0002158998977392912,5.179992876946926e-05,0.0008648000657558441,32,
35,HYBRID,True,True,True,0.00034670019522309303,0.00020239991135895252,0.00020910007879137993,4.739989526569843e-05,0.0008101998828351498,32,
36,HYBRID,True,True,True,0.00036700000055134296,0.00020819995552301407,0.00021319999359548092,5.0800153985619545e-05,0.0008439000230282545,32,
37,HYBRID,True,True,True,0.0003883000463247299,0.000215600011870265,0.00023529981262981892,5.039991810917854e-05,0.0008949001785367727,32,
38,HYBRID,True,True,True,0.00037189992144703865,0.00020640017464756966,0.00021329987794160843,5.149981006979942e-05,0.0008479999378323555,32,
39,HYBRID,True,True,True,0.00035690004006028175,0.00020599993877112865,0.00021139997988939285,7.180008105933666e-05,0.0008515999652445316,32,
40,HYBRID,True,True,True,0.00047369999811053276,0.000215600011870265,0.00021540001034736633,5.319993942975998e-05,0.0009635998867452145,32,
41,HYBRID,True,True,True,0.000372899929061532,0.00020869984291493893,0.00021460000425577164,5.630007945001125e-05,0.0008575001265853643,32,
42,HYBRID,True,True,True,0.0005459000822156668,0.00032800016924738884,0.0003554001450538635,6.109988316893578e-05,0.001298299990594387,32,
43,HYBRID,True,True,True,0.0006031000521034002,0.00032720016315579414,0.00023200013674795628,6.229989230632782e-05,0.0012320999521762133,32,
44,HYBRID,True,True,True,0.0004259999841451645,0.00021379999816417694,0.00021510012447834015,5.120015703141689e-05,0.0009117999579757452,32,
45,HYBRID,True,True,True,0.00035710004158318043,0.00020499993115663528,0.00024249986745417118,4.910002462565899e-05,0.0008586000185459852,32,
46,HYBRID,True,True,True,0.0004914000164717436,0.00021460000425577164,0.00021670013666152954,5.250005051493645e-05,0.000981000019237399,32,
47,HYBRID,True,True,True,0.0003599999472498894,0.00020530004985630512,0.00024770013988018036,0.00010199984535574913,0.0009199001360684633,32,
48,HYBRID,True,True,True,0.00041019986383616924,0.000228899996727705,0.000259599881246686,5.729985423386097e-05,0.0009622001089155674,32,
49,HYBRID,True,True,True,0.0007992999162524939,0.00039279996417462826,0.0003885000478476286,0.00014709983952343464,0.0017389999702572823,32,
50,HYBRID,True,True,True,0.0005383999086916447,0.0003527000080794096,0.0002907998859882355,0.0001221999991685152,0.001313100103288889,32,
51,HYBRID,True,True,True,0.0005489999894052744,0.0003410999197512865,0.00024170009419322014,9.780004620552063e-05,0.0012389000039547682,32,
52,HYBRID,True,True,True,0.0005238000303506851,0.00044269999489188194,0.000443900004029274,9.489990770816803e-05,0.0015159000176936388,32,
53,HYBRID,True,True,True,0.0005475000943988562,0.00022300006821751595,0.0002172999083995819,5.519995465874672e-05,0.0010489998385310173,32,
54,HYBRID,True,True,True,0.00039499998092651367,0.0003800999838858843,0.0003931000828742981,9.370013140141964e-05,0.0012696001213043928,32,
55,HYBRID,True,True,True,0.00040529994294047356,0.00023280014283955097,0.0002437999937683344,5.529983900487423e-05,0.0009430998470634222,32,
56,HYBRID,True,True,True,0.0004043998196721077,0.0002258999738842249,0.0002482999116182327,6.809993647038937e-05,0.0009522000327706337,32,
57,HYBRID,True,True,True,0.0006388998590409756,0.00034980010241270065,0.0003907999489456415,9.590014815330505e-05,0.0014908001758158207,32,
58,HYBRID,True,True,True,0.0003619999624788761,0.00020730006508529186,0.0002454000059515238,5.810009315609932e-05,0.000877999933436513,32,
59,HYBRID,True,True,True,0.0003665001131594181,0.00021239998750388622,0.0002109999768435955,5.030003376305103e-05,0.0008451000321656466,32,
60,HYBRID,True,True,True,0.000511599937453866,0.0002180000301450491,0.0002180000301450491,5.619996227324009e-05,0.0010098000057041645,32,
61,HYBRID,True,True,True,0.00037969998084008694,0.00021309987641870975,0.00023770006373524666,5.640019662678242e-05,0.0008918000385165215,32,
62,HYBRID,True,True,True,0.00036419997923076153,0.0002530000638216734,0.00022069993428885937,4.9900030717253685e-05,0.0008926000446081161,32,
63,HYBRID,True,True,True,0.00041319988667964935,0.00022449996322393417,0.00023010000586509705,6.180000491440296e-05,0.0009354001376777887,32,
