ID,protocol,success,keygen_time,encap_time,decap_time,total_time,key_size,error
1,KYBER,True,0.00432129999899189,0.0004655999982787762,0.0001551000023027882,0.00494520000211196,32,
2,KYBER,True,0.0001480999999330379,0.00017500000103609636,0.00011850000009872019,0.0004445999984454829,32,
3,KYBER,True,0.00013050000052317046,0.00015319999874918722,0.00011249999806750566,0.00039900000047055073,32,
4,KYBER,True,0.00015759999951114878,0.00011440000162110664,0.00010929999916697852,0.000384000002668472,32,
5,KYBER,True,0.00012480000077630393,0.00016569999934290536,0.00011359999916749075,0.00040639999861014076,32,
6,KYBER,True,0.00014200000077835284,0.00011450000238255598,0.00011330000052112155,0.0003724000016518403,32,
7,KYBER,True,0.00015840000196476467,0.00010800000018207356,0.00010929999916697852,0.00037789999987580813,32,
8,KYBER,True,0.00013350000153877772,0.00010069999916595407,0.00013560000297729857,0.0003722000001289416,32,
9,KYBER,True,0.00012240000069141388,0.00011150000136694871,0.00011029999950551428,0.0003462999993644189,32,
10,KYBER,True,0.0004189000028418377,0.00011510000331327319,0.0001247000000148546,0.0006615000020246953,32,
11,KYBER,True,0.0001277999981539324,9.700000009615906e-05,0.00015700000221841037,0.00038440000207629055,32,
12,KYBER,True,0.00012260000221431255,9.730000238050707e-05,0.00010720000136643648,0.00032920000012381934,32,
13,KYBER,True,0.00023180000061984174,0.00010929999916697852,0.00010750000001280569,0.00045110000064596534,32,
14,KYBER,True,0.0001235999989148695,0.00010699999984353781,0.00010699999984353781,0.0003398000008019153,32,
15,KYBER,True,0.0001596000001882203,0.00010610000026645139,0.00010960000145132653,0.0003775000004679896,32,
16,KYBER,True,0.0001548000000184402,0.00015100000018719584,0.0001740000006975606,0.00048289999904227443,32,
17,KYBER,True,0.00011319999975967221,9.710000085760839e-05,0.00010730000212788582,0.00031989999843062833,32,
18,KYBER,True,0.00016800000230432488,0.00014540000120177865,0.0001140000022132881,0.00043000000005122274,32,
19,KYBER,True,0.00016939999841270037,0.00013969999781693332,0.00013299999773153104,0.00044580000030691735,32,
20,KYBER,True,0.00010729999848990701,0.00010819999806699343,0.00013770000077784061,0.0003556000010576099,32,
21,KYBER,True,0.00013839999883202836,0.0001216000018757768,0.00013029999900027178,0.0003929999984393362,32,
22,KYBER,True,0.00016420000247308053,0.0001453000004403293,0.0001869000006990973,0.0005000999990443233,32,
23,KYBER,True,0.0001159999992523808,9.560000034980476e-05,0.0001055999964592047,0.0003189999988535419,32,
24,KYBER,True,0.0001658000001043547,0.00017980000120587647,0.00011660000018309802,0.00046519999887095764,32,
25,KYBER,True,0.00011300000187475234,0.00012480000077630393,0.0001995999991777353,0.00044049999996786937,32,
26,KYBER,True,0.0001202000021294225,0.00013590000162366778,0.0001933999992616009,0.0004526999982772395,32,
27,KYBER,True,0.0001976000021386426,0.00024330000087502412,0.00018140000247512944,0.0006261999988055322,32,
28,KYBER,True,0.00015720000010333024,0.0001382000009471085,0.00011559999984456226,0.00041400000191060826,32,
29,KYBER,True,0.00012000000060652383,0.0001391000005241949,0.00011679999806801789,0.000378400000045076,32,
30,KYBER,True,0.00013199999739299528,0.0001295000001846347,0.00010990000009769574,0.0003737999977602158,32,
31,KYBER,True,0.00017220000154338777,0.00015740000162622891,0.00014390000069397502,0.0004769000006490387,32,
32,KYBER,True,0.00015759999951114878,0.00012029999925289303,0.00011200000153621659,0.00039230000038514845,32,
33,KYBER,True,0.00013749999925494194,0.00015550000171060674,0.00011530000119819306,0.00041150000106426887,32,
34,KYBER,True,0.00015770000027259812,0.0001396000006934628,0.00013080000280751847,0.0004310000003897585,32,
35,KYBER,True,0.00014460000238614157,0.00014029999874765053,0.00014599999849451706,0.0004331999989517499,32,
36,KYBER,True,0.00013889999900129624,0.00014769999688724056,0.00011390000145183876,0.00040330000047106296,32,
37,KYBER,True,0.00016120000145747326,0.00018339999951422215,0.00015859999984968454,0.0005091999992146157,32,
38,KYBER,True,0.00012380000043776818,0.00015079999866429716,0.00017899999875226058,0.00045699999827775173,32,
39,KYBER,True,0.000167500002135057,0.00012480000077630393,0.00010990000009769574,0.0004048000009788666,32,
40,KYBER,True,0.00016559999858145602,0.00013359999866224825,0.00011380000069038942,0.0004158000010647811,32,
41,KYBER,True,0.0001224999978148844,9.869999848888256e-05,0.00010900000052060932,0.0003327000013086945,32,
42,KYBER,True,0.00015590000111842528,0.00013409999883151613,0.00013440000111586414,0.0004270999997970648,32,
43,KYBER,True,0.00011100000119768083,0.0001436000020476058,0.00019360000078449957,0.0004518000023381319,32,
44,KYBER,True,0.00014599999849451706,0.00011720000111381523,0.00016340000001946464,0.0004296000006434042,32,
45,KYBER,True,0.00013670000043930486,0.00013439999747788534,0.00016390000018873252,0.00043789999836008064,32,
46,KYBER,True,0.0001747999995131977,0.0001612999985809438,0.0001145999995060265,0.00045339999996940605,32,
47,KYBER,True,0.00011920000179088674,0.0001247000000148546,0.00018040000213659368,0.00042810000013560057,32,
48,KYBER,True,0.0001329000006080605,0.00013210000179242343,0.00012409999908413738,0.0003913999971700832,32,
49,KYBER,True,0.00016029999824240804,0.0001263999984075781,0.0001224999978148844,0.0004119000004720874,32,
50,KYBER,True,0.00017189999925903976,0.00012969999806955457,0.00012509999942267314,0.0004291000004741363,32,
51,KYBER,True,0.00023440000222763047,0.00014929999815649353,0.0001277999981539324,0.0005154999998921994,32,
52,KYBER,True,0.00016759999925852753,0.00015379999967990443,0.00017670000306679867,0.000501299997267779,32,
53,KYBER,True,0.00011000000085914508,0.00011160000212839805,0.00013499999840860255,0.0003590000014810357,32,
54,KYBER,True,0.00011950000043725595,0.00011760000052163377,0.00011249999806750566,0.00035209999987273477,32,
55,KYBER,True,0.00015500000154133886,0.00017320000188192353,0.00012280000009923242,0.00045400000090012327,32,
56,KYBER,True,0.00016070000128820539,0.00015729999722680077,0.00018909999926108867,0.0005106000025989488,32,
57,KYBER,True,0.0001244000013684854,0.00010269999984302558,0.0001095000006898772,0.00033880000046337955,32,
58,KYBER,True,0.00017110000044340268,0.0001666999996814411,0.0001320000010309741,0.00047309999717981555,32,
59,KYBER,True,0.00014509999891743064,0.00010230000043520704,0.00020799999765586108,0.0004590999997162726,32,
