ID,protocol,success,keygen_time,derive_time,kdf_time,total_time,key_size,error
1,ECDH,True,0.0331693000625819,0.0005677000153809786,0.0014493002090603113,0.03537350008264184,32,
2,ECDH,True,0.0002718998584896326,0.00021109986118972301,5.4900068789720535e-05,0.0006500999443233013,32,
3,ECDH,True,0.0004352000541985035,0.00027989991940557957,7.049995474517345e-05,0.0010848999954760075,32,
4,ECDH,True,0.00026210001669824123,0.00021219998598098755,5.7900091633200645e-05,0.0006945999339222908,32,
5,ECDH,True,0.0002500000409781933,0.0002313000150024891,5.859998054802418e-05,0.0008294000290334225,32,
6,ECDH,True,0.0003116999287158251,0.0002202000468969345,5.45999500900507e-05,0.0009327000007033348,32,
7,ECDH,True,0.0004336999263614416,0.00023200013674795628,6.480002775788307e-05,0.0011209000367671251,32,
8,ECDH,True,0.00026199989952147007,0.0003559999167919159,7.309997454285622e-05,0.001115000108256936,32,
9,ECDH,True,0.00029619992710649967,0.0002732998691499233,8.080014958977699e-05,0.001007300103083253,32,
10,ECDH,True,0.00035259989090263844,0.0002221998292952776,5.979998968541622e-05,0.0009910999797284603,32,
11,ECDH,True,0.0002554000820964575,0.00033920002169907093,6.62999227643013e-05,0.0012839001137763262,32,
12,ECDH,True,0.0003199998755007982,0.00022540008649230003,6.069988012313843e-05,0.000954899936914444,32,
13,ECDH,True,0.0002546999603509903,0.0002226999495178461,5.779997445642948e-05,0.0009580999612808228,32,
14,ECDH,True,0.0002655000425875187,0.0002677999436855316,5.719996988773346e-05,0.0009314001072198153,32,
15,ECDH,True,0.0002435001078993082,0.0002302001230418682,5.869986489415169e-05,0.0008658000733703375,32,
16,ECDH,True,0.0002615000121295452,0.00022329995408654213,0.00016589998267591,0.0009548000525683165,32,
17,ECDH,True,0.00024289987049996853,0.00021820003166794777,5.419994704425335e-05,0.0008493000641465187,32,
18,ECDH,True,0.00025489996187388897,0.00022029993124306202,5.970010533928871e-05,0.0009420998394489288,32,
19,ECDH,True,0.00034389994107186794,0.00027290009893476963,6.069988012313843e-05,0.0010804000776261091,32,
