id,module,name,file,doc,markers,status,message,duration
tests/test_hybrid.py::test_hybrid_handshake,tests.test_hybrid,test_hybrid_handshake,tests\test_hybrid.py,,,passed,,0.042291499907150865
tests/test_kyber.py::test_kyber_output_structure,tests.test_kyber,test_kyber_output_structure,tests\test_kyber.py,,,passed,,0.0025043999776244164
